HIGHEST_NIBRS_DESCRIPTION,CLEARANCE_STATUS,DATE_REPORTED,CMPD_PATROL_DIVISION
Intimidation,Cleared by Arrest,2021-01-02,Central
Simple Assault,Exceptionally Cleared,2019-12-18,North Tryon
Simple Assault,Cleared by Arrest,2019-08-13,Hickory Grove
Simple Assault,Exceptionally Cleared,2019-09-19,Providence
Simple Assault,Exceptionally Cleared,2024-10-04,Providence
Simple Assault,Open,2022-12-03,Steele Creek
Simple Assault,Exceptionally Cleared,2021-05-16,Independence
Intimidation,Open,2018-07-21,Metro
Intimidation,Cleared by Arrest,2017-05-29,University City
Simple Assault,Cleared by Arrest,2017-03-02,South
Intimidation,Open,2021-11-17,Steele Creek
Intimidation,Exceptionally Cleared,2021-01-30,University City
Simple Assault,Open,2022-03-30,Central
Simple Assault,Cleared by Arrest,2018-01-23,Westover
Simple Assault,Open,2023-05-16,Central
Simple Assault,Cleared by Arrest,2018-12-13,Westover
Simple Assault,Cleared by Arrest,2017-04-22,Steele Creek
Simple Assault,Exceptionally Cleared,2023-08-31,Hickory Grove
Intimidation,Open,2022-12-11,South
Intimidation,Exceptionally Cleared,2023-12-06,Steele Creek
Simple Assault,Cleared by Arrest,2018-04-15,Eastway
Simple Assault,Cleared by Arrest,2021-07-18,Eastway
Simple Assault,Cleared by Arrest,2020-01-31,North
Simple Assault,Cleared by Arrest by Another Agency,2023-07-23,University City
Simple Assault,Cleared by Arrest by Another Agency,2019-06-20,Steele Creek
Simple Assault,Open,2019-09-29,South
Simple Assault,Cleared by Arrest,2024-05-19,South
Simple Assault,Open,2023-10-24,University City
Intimidation,Cleared by Arrest,2020-04-19,Independence
Simple Assault,Open,2017-10-12,Eastway
Simple Assault,Exceptionally Cleared,2024-04-30,South
Simple Assault,Open,2024-03-07,University City
Simple Assault,Exceptionally Cleared,2019-10-04,South
Simple Assault,Exceptionally Cleared,2023-02-22,Hickory Grove
Simple Assault,Open,2024-11-11,University City
Intimidation,Exceptionally Cleared,2022-08-22,Eastway
Simple Assault,Cleared by Arrest,2019-08-06,Westover
Simple Assault,Cleared by Arrest,2020-02-15,Metro
Simple Assault,Cleared by Arrest,2023-05-31,South
Intimidation,Exceptionally Cleared,2020-11-09,North
Intimidation,Cleared by Arrest,2019-02-23,Steele Creek
Simple Assault,Cleared by Arrest,2017-03-24,Steele Creek
Intimidation,Open,2021-07-05,University City
Simple Assault,Cleared by Arrest,2023-12-30,University City
Simple Assault,Cleared by Arrest,2018-09-07,Eastway
Intimidation,Open,2022-09-21,Metro
Simple Assault,Exceptionally Cleared,2022-04-27,Independence
Simple Assault,Open,2024-04-25,Providence
Simple Assault,Open,2022-10-25,Eastway
Simple Assault,Cleared by Arrest,2021-07-31,University City
Simple Assault,Exceptionally Cleared,2022-06-06,North
Intimidation,Exceptionally Cleared,2018-11-02,North Tryon
Simple Assault,Unfounded,2023-08-16,Independence
Simple Assault,Open,2023-12-15,Independence
Simple Assault,Cleared by Arrest,2017-03-29,Westover
Simple Assault,Cleared by Arrest,2022-07-12,Hickory Grove
Simple Assault,Cleared by Arrest by Another Agency,2020-03-28,Steele Creek
Simple Assault,Cleared by Arrest,2018-11-06,Steele Creek
Intimidation,Cleared by Arrest,2018-07-27,Steele Creek
Simple Assault,Unfounded,2022-11-30,University City
Simple Assault,Exceptionally Cleared,2017-09-17,Steele Creek
Simple Assault,Open,2019-01-26,Metro
Simple Assault,Open,2024-05-21,North
Simple Assault,Open,2020-08-08,Freedom
Simple Assault,Cleared by Arrest,2018-10-27,Hickory Grove
Simple Assault,Cleared by Arrest,2017-04-26,Central
Simple Assault,Open,2017-11-23,Hickory Grove
Simple Assault,Open,2022-12-30,Steele Creek
Simple Assault,Cleared by Arrest by Another Agency,2018-09-27,Central
Simple Assault,Cleared by Arrest,2023-01-07,Eastway
Simple Assault,Exceptionally Cleared,2022-11-30,North Tryon
Simple Assault,Exceptionally Cleared,2018-10-14,Steele Creek
Simple Assault,Exceptionally Cleared,2017-09-08,Westover
Simple Assault,Open,2020-01-02,Central
Simple Assault,Cleared by Arrest,2017-03-05,North Tryon
Simple Assault,Cleared by Arrest,2023-06-29,North
Intimidation,Exceptionally Cleared,2024-02-26,Hickory Grove
Simple Assault,Open,2018-07-21,Central
Intimidation,Open,2017-05-31,North Tryon
Intimidation,Open,2022-05-16,Metro
Simple Assault,Cleared by Arrest,2022-11-02,Providence
Simple Assault,Exceptionally Cleared,2020-08-09,Central
Simple Assault,Open,2024-07-25,Westover
Intimidation,Exceptionally Cleared,2023-05-04,North
Simple Assault,Cleared by Arrest,2022-08-22,Independence
Simple Assault,Exceptionally Cleared,2019-01-25,Westover
Simple Assault,Cleared by Arrest,2019-12-05,North
Simple Assault,Cleared by Arrest,2017-04-24,Freedom
Simple Assault,Cleared by Arrest,2019-05-17,Eastway
Intimidation,Open,2020-12-18,Hickory Grove
Simple Assault,Exceptionally Cleared,2019-08-22,Metro
Simple Assault,Open,2020-07-26,Freedom
Simple Assault,Open,2022-08-27,Westover
Intimidation,Cleared by Arrest,2018-04-28,Metro
Intimidation,Cleared by Arrest,2020-06-09,Westover
Simple Assault,Cleared by Arrest,2018-05-03,Westover
Simple Assault,Cleared by Arrest,2017-01-07,North
Simple Assault,Exceptionally Cleared,2020-06-21,Metro
Simple Assault,Open,2017-01-08,North Tryon
Simple Assault,Exceptionally Cleared,2018-01-17,University City
Intimidation,Open,2020-08-25,North
Simple Assault,Open,2017-09-26,Metro
Intimidation,Open,2020-04-01,Hickory Grove
Simple Assault,Cleared by Arrest,2019-05-27,Metro
Intimidation,Exceptionally Cleared,2017-07-04,Metro
Simple Assault,Open,2023-09-11,University City
Simple Assault,Exceptionally Cleared,2017-03-12,Freedom
Simple Assault,Open,2021-07-27,University City
Simple Assault,Cleared by Arrest by Another Agency,2018-03-11,Freedom
Simple Assault,Open,2018-03-22,North
Simple Assault,Open,2018-11-29,North
Simple Assault,Open,2022-05-21,Metro
Simple Assault,Open,2020-01-31,University City
Simple Assault,Exceptionally Cleared,2021-06-26,Steele Creek
Intimidation,Exceptionally Cleared,2019-01-01,Hickory Grove
Simple Assault,Exceptionally Cleared,2020-01-20,Central
Simple Assault,Open,2024-05-25,North
Simple Assault,Exceptionally Cleared,2022-10-02,Hickory Grove
Simple Assault,Cleared by Arrest,2017-05-22,Westover
Simple Assault,Open,2023-07-17,North Tryon
Simple Assault,Exceptionally Cleared,2020-11-17,North Tryon
Simple Assault,Cleared by Arrest,2020-07-24,University City
Intimidation,Open,2022-01-14,Westover
Simple Assault,Cleared by Arrest,2023-11-17,Providence
Simple Assault,Cleared by Arrest,2024-10-19,Central
Simple Assault,Exceptionally Cleared,2022-07-05,University City
Intimidation,Open,2017-04-23,Metro
Simple Assault,Cleared by Arrest,2021-07-03,Westover
Intimidation,Open,2020-10-11,Westover
Simple Assault,Open,2020-09-10,Providence
Simple Assault,Exceptionally Cleared,2022-04-30,Independence
Simple Assault,Cleared by Arrest,2022-02-15,Steele Creek
Simple Assault,Exceptionally Cleared,2020-08-12,Providence
Simple Assault,Open,2019-07-30,Freedom
Simple Assault,Exceptionally Cleared,2024-03-24,Airport
Simple Assault,Open,2022-03-18,University City
Simple Assault,Cleared by Arrest,2019-04-16,Westover
Simple Assault,Unfounded,2020-08-26,Independence
Intimidation,Cleared by Arrest,2018-03-09,Eastway
Simple Assault,Cleared by Arrest,2018-11-24,South
Simple Assault,Exceptionally Cleared,2018-03-03,Freedom
Intimidation,Exceptionally Cleared,2024-07-05,North
Simple Assault,Cleared by Arrest,2022-09-26,Metro
Simple Assault,Open,2019-06-15,Providence
Simple Assault,Cleared by Arrest,2017-06-15,North Tryon
Intimidation,Exceptionally Cleared,2022-03-20,Independence
Simple Assault,Cleared by Arrest,2019-11-29,University City
Simple Assault,Exceptionally Cleared,2021-12-08,Steele Creek
Intimidation,Exceptionally Cleared,2022-04-28,Providence
Intimidation,Unfounded,2020-07-11,Hickory Grove
Simple Assault,Open,2024-06-02,Freedom
Intimidation,Open,2022-02-07,Eastway
Simple Assault,Cleared by Arrest,2017-10-15,North Tryon
Intimidation,Open,2024-08-31,South
Simple Assault,Open,2022-10-08,Westover
Simple Assault,Open,2023-09-06,Providence
Intimidation,Exceptionally Cleared,2019-10-12,Independence
Simple Assault,Open,2024-05-11,North
Simple Assault,Cleared by Arrest,2020-12-11,Freedom
Intimidation,Open,2017-03-30,North Tryon
Intimidation,Open,2024-09-07,Eastway
Simple Assault,Open,2017-06-09,Metro
Simple Assault,Open,2020-07-30,North
Simple Assault,Open,2018-03-24,North
Simple Assault,Exceptionally Cleared,2018-03-29,Independence
Intimidation,Open,2023-07-29,Westover
Simple Assault,Open,2021-05-16,Central
Simple Assault,Cleared by Arrest,2024-01-27,Freedom
Simple Assault,Open,2021-08-28,Metro
Simple Assault,Cleared by Arrest,2018-04-12,Hickory Grove
Simple Assault,Cleared by Arrest,2022-04-13,Westover
Simple Assault,Cleared by Arrest,2019-10-06,Central
Intimidation,Open,2024-05-30,Westover
Intimidation,Open,2023-03-05,University City
Simple Assault,Open,2018-02-28,North
Intimidation,Exceptionally Cleared,2020-10-01,North Tryon
Simple Assault,Open,2021-06-01,North
Simple Assault,Cleared by Arrest,2018-11-12,Westover
Simple Assault,Cleared by Arrest,2017-04-24,Eastway
Simple Assault,Open,2018-07-25,Providence
Simple Assault,Exceptionally Cleared,2023-03-24,Providence
Simple Assault,Cleared by Arrest,2017-02-23,Metro
Simple Assault,Open,2017-07-10,North Tryon
Simple Assault,Open,2018-07-14,Providence
Simple Assault,Open,2023-09-14,University City
Simple Assault,Open,2020-06-02,North Tryon
Intimidation,Cleared by Arrest by Another Agency,2021-04-16,North
Intimidation,Exceptionally Cleared,2020-01-23,Steele Creek
Simple Assault,Cleared by Arrest,2023-01-13,North
Simple Assault,Cleared by Arrest,2017-12-02,Central
Intimidation,Open,2020-12-04,Westover
Simple Assault,Cleared by Arrest,2019-03-09,Freedom
Simple Assault,Cleared by Arrest,2023-02-02,University City
Simple Assault,Exceptionally Cleared,2021-12-08,Eastway
Intimidation,Exceptionally Cleared,2024-03-09,Steele Creek
Intimidation,Open,2019-09-22,Steele Creek
Simple Assault,Open,2024-03-05,North
Simple Assault,Cleared by Arrest,2019-06-03,Independence
Simple Assault,Open,2018-07-01,Independence
Simple Assault,Open,2024-02-04,University City
Intimidation,Open,2020-12-20,Independence
Intimidation,Open,2021-09-22,University City
Simple Assault,Cleared by Arrest,2021-12-20,Westover
Intimidation,Open,2019-01-26,North
Simple Assault,Open,2023-05-18,Hickory Grove
Simple Assault,Cleared by Arrest,2017-06-11,Westover
Simple Assault,Cleared by Arrest,2019-08-30,University City
Intimidation,Open,2017-03-29,University City
Simple Assault,Open,2017-11-18,Steele Creek
Simple Assault,Cleared by Arrest,2024-03-14,North Tryon
Intimidation,Cleared by Arrest,2018-07-10,Central
Simple Assault,Open,2024-01-07,South
Simple Assault,Open,2022-11-24,North
Simple Assault,Open,2017-11-13,Providence
Simple Assault,Open,2022-01-12,North Tryon
Simple Assault,Open,2019-10-26,Westover
Simple Assault,Open,2023-08-19,Central
Simple Assault,Exceptionally Cleared,2018-09-13,Freedom
Simple Assault,Cleared by Arrest,2024-10-10,Independence
Simple Assault,Open,2024-06-22,Metro
Simple Assault,Exceptionally Cleared,2022-09-03,Independence
Simple Assault,Cleared by Arrest,2018-09-24,Airport
Intimidation,Open,2024-05-09,University City
Intimidation,Cleared by Arrest,2021-04-07,Westover
Intimidation,Cleared by Arrest by Another Agency,2024-04-28,University City
Simple Assault,Cleared by Arrest,2021-09-25,Central
Simple Assault,Cleared by Arrest,2019-03-12,Steele Creek
Simple Assault,Exceptionally Cleared,2023-12-18,University City
Simple Assault,Exceptionally Cleared,2023-01-24,Hickory Grove
Simple Assault,Exceptionally Cleared,2018-10-09,University City
Simple Assault,Open,2022-09-01,Westover
Simple Assault,Cleared by Arrest,2023-03-10,Steele Creek
Simple Assault,Cleared by Arrest,2023-01-17,University City
Simple Assault,Open,2024-06-08,University City
Intimidation,Open,2023-08-10,Freedom
Simple Assault,Cleared by Arrest,2021-02-16,North
Intimidation,Exceptionally Cleared,2023-04-28,Steele Creek
Simple Assault,Unfounded,2022-01-28,Steele Creek
Simple Assault,Cleared by Arrest,2024-01-12,Independence
Simple Assault,Cleared by Arrest,2022-01-26,Westover
Intimidation,Open,2023-07-11,Steele Creek
Intimidation,Cleared by Arrest,2020-06-01,Providence
Simple Assault,Open,2020-05-22,Metro
Simple Assault,Exceptionally Cleared,2017-02-19,North Tryon
Simple Assault,Exceptionally Cleared,2022-07-30,North
Simple Assault,Open,2024-01-27,Westover
Simple Assault,Open,2024-09-08,University City
Simple Assault,Exceptionally Cleared,2024-01-11,South
Simple Assault,Open,2024-11-06,South
Intimidation,Open,2019-07-10,University City
Intimidation,Exceptionally Cleared,2019-09-05,Westover
Intimidation,Exceptionally Cleared,2022-01-03,Central
Intimidation,Open,2024-02-23,Independence
Simple Assault,Cleared by Arrest,2022-06-04,North
Simple Assault,Exceptionally Cleared,2023-01-08,Hickory Grove
Simple Assault,Cleared by Arrest,2022-03-08,Freedom
Intimidation,Open,2017-06-29,Westover
Simple Assault,Open,2022-12-18,Freedom
Intimidation,Exceptionally Cleared,2018-07-02,Hickory Grove
Simple Assault,Cleared by Arrest,2019-01-01,Independence
Simple Assault,Exceptionally Cleared,2019-08-17,Freedom
Intimidation,Open,2017-05-24,Westover
Simple Assault,Exceptionally Cleared,2019-02-25,Hickory Grove
Intimidation,Cleared by Arrest,2018-05-28,North Tryon
Simple Assault,Cleared by Arrest,2019-06-11,Westover
Simple Assault,Exceptionally Cleared,2019-11-11,Metro
Simple Assault,Open,2018-05-14,University City
Simple Assault,Cleared by Arrest,2020-07-29,Metro
Intimidation,Cleared by Arrest,2020-08-19,Providence
Intimidation,Open,2024-06-24,Central
Simple Assault,Cleared by Arrest,2018-01-18,Steele Creek
Simple Assault,Open,2022-09-24,North
Intimidation,Exceptionally Cleared,2024-05-16,Providence
Simple Assault,Open,2024-08-22,Steele Creek
Simple Assault,Cleared by Arrest,2017-05-10,Steele Creek
Intimidation,Open,2022-06-12,University City
Intimidation,Open,2021-12-20,Metro
Simple Assault,Cleared by Arrest,2020-01-12,Independence
Simple Assault,Open,2021-10-30,Steele Creek
Simple Assault,Open,2019-05-16,North Tryon
Simple Assault,Open,2017-04-27,North
Simple Assault,Unfounded,2019-03-12,North
Simple Assault,Cleared by Arrest,2018-11-04,University City
Intimidation,Open,2023-06-07,Westover
Simple Assault,Cleared by Arrest,2022-03-08,South
Simple Assault,Exceptionally Cleared,2017-12-16,Westover
Simple Assault,Exceptionally Cleared,2017-01-28,Metro
Intimidation,Cleared by Arrest,2017-03-11,North
Simple Assault,Cleared by Arrest,2019-08-14,North Tryon
Simple Assault,Open,2021-12-02,North Tryon
Simple Assault,Open,2024-02-16,Westover
Intimidation,Open,2020-12-07,Freedom
Simple Assault,Cleared by Arrest by Another Agency,2018-10-31,Independence
Intimidation,Open,2018-04-30,Eastway
Simple Assault,Open,2024-08-17,Independence
Simple Assault,Cleared by Arrest,2022-05-12,Hickory Grove
Simple Assault,Cleared by Arrest,2017-05-14,North Tryon
Simple Assault,Cleared by Arrest by Another Agency,2019-01-21,Eastway
Intimidation,Open,2017-08-28,North
Simple Assault,Exceptionally Cleared,2017-11-29,Hickory Grove
Simple Assault,Open,2021-07-24,Central
Intimidation,Open,2023-03-27,University City
Simple Assault,Cleared by Arrest,2019-12-26,South
Intimidation,Open,2023-10-14,Steele Creek
Simple Assault,Open,2023-04-28,Hickory Grove
Simple Assault,Open,2023-07-20,Westover
Intimidation,Open,2020-02-15,Eastway
Intimidation,Exceptionally Cleared,2018-11-14,North
Intimidation,Exceptionally Cleared,2020-11-08,Providence
Simple Assault,Exceptionally Cleared,2019-05-22,Freedom
Simple Assault,Exceptionally Cleared,2023-09-19,Westover
Simple Assault,Cleared by Arrest,2017-03-22,North Tryon
Intimidation,Open,2019-05-28,Hickory Grove
Simple Assault,Cleared by Arrest,2019-09-08,University City
Simple Assault,Open,2020-08-27,North Tryon
Intimidation,Cleared by Arrest,2020-05-22,University City
Simple Assault,Open,2024-11-05,Independence
Intimidation,Open,2020-04-05,Steele Creek
Simple Assault,Open,2024-06-28,Freedom
Simple Assault,Open,2020-06-26,North Tryon
Simple Assault,Exceptionally Cleared,2022-08-03,North Tryon
Simple Assault,Exceptionally Cleared,2018-03-07,North Tryon
Simple Assault,Cleared by Arrest,2019-08-13,University City
Simple Assault,Open,2018-09-03,Eastway
Simple Assault,Exceptionally Cleared,2022-12-14,Metro
Simple Assault,Cleared by Arrest,2024-04-25,North
Simple Assault,Open,2022-07-29,Central
Simple Assault,Cleared by Arrest,2021-08-09,Providence
Simple Assault,Open,2019-07-20,Metro
Simple Assault,Cleared by Arrest,2020-04-02,Steele Creek
Simple Assault,Open,2019-05-25,North Tryon
Simple Assault,Exceptionally Cleared,2018-10-10,Hickory Grove
Simple Assault,Unfounded,2023-05-27,Central
Simple Assault,Cleared by Arrest,2022-04-15,Freedom
Simple Assault,Unfounded,2017-04-14,Eastway
Simple Assault,Exceptionally Cleared,2023-06-17,University City
Simple Assault,Exceptionally Cleared,2022-10-27,North Tryon
Intimidation,Cleared by Arrest,2021-10-14,Providence
Intimidation,Exceptionally Cleared,2019-11-13,Westover
Intimidation,Exceptionally Cleared,2019-02-08,Metro
Simple Assault,Open,2019-01-09,North Tryon
Simple Assault,Open,2019-07-19,Hickory Grove
Simple Assault,Open,2018-09-26,Freedom
Simple Assault,Open,2017-10-07,Eastway
Simple Assault,Exceptionally Cleared,2021-10-20,Hickory Grove
Intimidation,Exceptionally Cleared,2024-09-13,Westover
Simple Assault,Cleared by Arrest,2023-12-24,Hickory Grove
Simple Assault,Cleared by Arrest,2019-01-06,Westover
Simple Assault,Open,2023-10-23,Independence
Simple Assault,Cleared by Arrest,2018-08-14,Freedom
Simple Assault,Open,2023-05-03,Eastway
Intimidation,Open,2022-03-23,Independence
Intimidation,Open,2022-10-22,Steele Creek
Intimidation,Exceptionally Cleared,2020-05-18,North
Simple Assault,Cleared by Arrest,2018-02-14,Independence
Simple Assault,Open,2024-03-24,Steele Creek
Simple Assault,Open,2024-08-06,Freedom
Intimidation,Open,2022-09-22,Freedom
Intimidation,Cleared by Arrest,2022-03-30,Westover
Intimidation,Open,2024-03-07,Freedom
Simple Assault,Cleared by Arrest,2024-02-21,Providence
Simple Assault,Exceptionally Cleared,2020-06-07,University City
